,Unnamed: 0,City,Common_Names,Country,County,Family_x,GBReference_title,GenBank,Genus_x,Latitude,Location,Longitude,Order_x,ScientificName_x,State,Test,Virus,Virus_Confirmed,Confirmation,Virus_Family,Year,accession,referenceID,Host,MatchHost,MatchRatio,Species ID,Kingdom,Phylum,Class,Order_y,Family_y,Genus_y,Species,Authority,Infraspecific rank,Infraspecific name,Infraspecific authority,Stock/subpopulation,Synonyms,Common names (Eng),Common names (Fre),Common names (Spa),Red List status,Red List criteria,Red List criteria version,Year assessed,Population trend,Petitioned,ScientificName_y
1254,6745,,,Russia,,CORVIDAE,"{u'GBReference_position': '1..322', u'GBReference_reference': '1', u'GBReference_journal': 'Unpublished', u'GBReference_title': 'Genotyping of the West Nile virus in birds in western Siberia region of Russia in 2003-2004', u'GBReference_authors': ['Ternovoi,V.A.', 'Kononova,Y.V.', 'Zolotykh,S.I.', 'Protopopova,E.V.', 'Loktev,V.B.', 'Shestopalov,A.M.']}",1.0,,,,,PASSERIFORMES,Corvus corone,,nucleotide,West Nile virus,1,1,Flaviviridae,,DQ059564,GenBank,Corvus corone,Corvus corone,Edited,,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,CORVIDAE,Corvus,cornix,,,,,,,Hooded Crow,,,,,,,,,
1255,6746,,,Russia,,CORVIDAE,"{u'GBReference_position': '1..322', u'GBReference_reference': '1', u'GBReference_journal': 'Unpublished', u'GBReference_title': 'Genotyping of the West Nile virus in birds in western Siberia region of Russia in 2003-2004', u'GBReference_authors': ['Ternovoi,V.A.', 'Kononova,Y.V.', 'Zolotykh,S.I.', 'Protopopova,E.V.', 'Loktev,V.B.', 'Shestopalov,A.M.']}",1.0,,,,,PASSERIFORMES,Corvus corone,,nucleotide,West Nile virus,1,1,Flaviviridae,,DQ059563,GenBank,Corvus corone,Corvus corone,Edited,,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,CORVIDAE,Corvus,cornix,,,,,,,Hooded Crow,,,,,,,,,
1256,3837,,,Russia: Volgograd,,CORVIDAE,"{u'GBReference_position': '1..501', u'GBReference_reference': '1', u'GBReference_journal': 'Unpublished', u'GBReference_title': 'Detection of West Nile virus in the south of Russia', u'GBReference_authors': ['Platonov,A.E.', 'Shopenskaya,T.A.', 'Karan,L.S.', 'Fedorova,M.V.', 'Arshba,T.E.', 'Oganesyan,Y.V.', 'Lazorenko,V.V.']}",1.0,,,,,PASSERIFORMES,Corvus cornix (bird),,nucleotide,West Nile virus,1,1,Flaviviridae,2003,FJ425734,GenBank,Corvus cornix (bird),Corvus corone,Edited,,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,CORVIDAE,Corvus,cornix,,,,,,,Hooded Crow,,,,,,,,,
1257,3838,,,Russia: Volgograd,,CORVIDAE,"{u'GBReference_position': '1..501', u'GBReference_reference': '1', u'GBReference_journal': 'Unpublished', u'GBReference_title': 'Detection of West Nile virus in the south of Russia', u'GBReference_authors': ['Platonov,A.E.', 'Shopenskaya,T.A.', 'Karan,L.S.', 'Fedorova,M.V.', 'Arshba,T.E.', 'Oganesyan,Y.V.', 'Lazorenko,V.V.']}",1.0,,,,,PASSERIFORMES,Corvus cornix (bird),,nucleotide,West Nile virus,1,1,Flaviviridae,2003,FJ425733,GenBank,Corvus cornix (bird),Corvus corone,Edited,,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,CORVIDAE,Corvus,cornix,,,,,,,Hooded Crow,,,,,,,,,
1261,6939,,,Russia,,CORVIDAE,"{u'GBReference_position': '1..10789', u'GBReference_reference': '1', u'GBReference_journal': 'Submitted (24-JAN-2006) Molecular Genetic Laboratory, Ivanovsky Virology Institute RAMS, Gamalei 16, Moscow 123098, Russia', u'GBReference_title': 'Direct Submission', u'GBReference_authors': ['Lyapina,O.V.', 'Samokhvalov,E.I.', 'Prilipov,A.G.']}",1.0,,,,,PASSERIFORMES,Corvus corone,,nucleotide,West Nile virus,1,1,Flaviviridae,,DQ374652,GenBank,Corvus corone,Corvus corone,100,22706016.0,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,CORVIDAE,Corvus,corone,"Linnaeus, 1758",,,,,,Carrion Crow,,,LC,,3.1,2014.0,increasing,N,Corvus corone
1262,6747,,,Russia,,CORVIDAE,"{u'GBReference_position': '1..322', u'GBReference_reference': '1', u'GBReference_journal': 'Unpublished', u'GBReference_title': 'Genotyping of the West Nile virus in birds in western Siberia region of Russia in 2003-2004', u'GBReference_authors': ['Ternovoi,V.A.', 'Kononova,Y.V.', 'Zolotykh,S.I.', 'Protopopova,E.V.', 'Loktev,V.B.', 'Shestopalov,A.M.']}",1.0,,,,,PASSERIFORMES,Corvus frugilegus,,nucleotide,West Nile virus,1,1,Flaviviridae,,DQ059562,GenBank,Corvus frugilegus,Corvus frugilegus,100,22705983.0,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,CORVIDAE,Corvus,frugilegus,"Linnaeus, 1758",,,,,,Rook,,,LC,,3.1,2012.0,decreasing,N,Corvus frugilegus
1263,6748,,,Russia,,CORVIDAE,"{u'GBReference_position': '1..322', u'GBReference_reference': '1', u'GBReference_journal': 'Unpublished', u'GBReference_title': 'Genotyping of the West Nile virus in birds in western Siberia region of Russia in 2003-2004', u'GBReference_authors': ['Ternovoi,V.A.', 'Kononova,Y.V.', 'Zolotykh,S.I.', 'Protopopova,E.V.', 'Loktev,V.B.', 'Shestopalov,A.M.']}",1.0,,,,,PASSERIFORMES,Corvus frugilegus,,nucleotide,West Nile virus,1,1,Flaviviridae,,DQ059561,GenBank,Corvus frugilegus,Corvus frugilegus,100,22705983.0,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,CORVIDAE,Corvus,frugilegus,"Linnaeus, 1758",,,,,,Rook,,,LC,,3.1,2012.0,decreasing,N,Corvus frugilegus
1264,6749,,,Russia,,CORVIDAE,"{u'GBReference_position': '1..322', u'GBReference_reference': '1', u'GBReference_journal': 'Unpublished', u'GBReference_title': 'Genotyping of the West Nile virus in birds in western Siberia region of Russia in 2003-2004', u'GBReference_authors': ['Ternovoi,V.A.', 'Kononova,Y.V.', 'Zolotykh,S.I.', 'Protopopova,E.V.', 'Loktev,V.B.', 'Shestopalov,A.M.']}",1.0,,,,,PASSERIFORMES,Corvus frugilegus,,nucleotide,West Nile virus,1,1,Flaviviridae,,DQ059560,GenBank,Corvus frugilegus,Corvus frugilegus,100,22705983.0,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,CORVIDAE,Corvus,frugilegus,"Linnaeus, 1758",,,,,,Rook,,,LC,,3.1,2012.0,decreasing,N,Corvus frugilegus
1265,3477,,,"USA: Nassau Co., NY",,CORVIDAE,"{u'GBReference_position': '1..10787', u'GBReference_reference': '1', u'GBReference_journal': 'Submitted (12-JUL-2016) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA', u'GBReference_title': 'Direct Submission', u'GBReference_authors': ['Shabman,R.', 'Das,S.R.', 'Halpin,R.A.', 'Shilts,M.', 'Fedorova,N.', 'Puri,V.', 'Amedeo,P.', 'Shrivastava,S.', 'Maffei,J.', 'Dupuis,A.', 'Jones,S.', 'Backenson,B.', 'Zink,S.', 'Ciota,A.', 'Kramer,L.']}",1.0,,,,,PASSERIFORMES,Corvus ossifragus,,nucleotide,West Nile virus,1,1,Flaviviridae,10-Aug-09,KX547522,GenBank,Corvus ossifragus,Corvus ossifragus,100,22705993.0,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,CORVIDAE,Corvus,ossifragus,"Wilson, 1812",,,,,,Fish Crow,,,LC,,3.1,2012.0,increasing,N,Corvus ossifragus
1266,3515,,,"USA: Genesee Co., NY",,CORVIDAE,"{u'GBReference_position': '1..10787', u'GBReference_reference': '1', u'GBReference_journal': 'Submitted (12-JUL-2016) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA', u'GBReference_title': 'Direct Submission', u'GBReference_authors': ['Shabman,R.', 'Das,S.R.', 'Halpin,R.A.', 'Shilts,M.', 'Fedorova,N.', 'Puri,V.', 'Amedeo,P.', 'Shrivastava,S.', 'Maffei,J.', 'Dupuis,A.', 'Jones,S.', 'Backenson,B.', 'Zink,S.', 'Ciota,A.', 'Kramer,L.']}",1.0,,,,,PASSERIFORMES,Corvus ossifragus,,nucleotide,West Nile virus,1,1,Flaviviridae,1-Oct-02,KX547484,GenBank,Corvus ossifragus,Corvus ossifragus,100,22705993.0,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,CORVIDAE,Corvus,ossifragus,"Wilson, 1812",,,,,,Fish Crow,,,LC,,3.1,2012.0,increasing,N,Corvus ossifragus
1267,3827,,,"USA: Greene Co., NY",,CORVIDAE,"{u'GBReference_position': '1..10787', u'GBReference_reference': '1', u'GBReference_journal': 'Submitted (12-JUL-2016) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA', u'GBReference_title': 'Direct Submission', u'GBReference_authors': ['Shabman,R.', 'Das,S.R.', 'Halpin,R.A.', 'Shilts,M.', 'Fedorova,N.', 'Puri,V.', 'Amedeo,P.', 'Shrivastava,S.', 'Maffei,J.', 'Dupuis,A.', 'Jones,S.', 'Backenson,B.', 'Zink,S.', 'Ciota,A.', 'Kramer,L.']}",1.0,,,,,PASSERIFORMES,Corvus ossifragus,,nucleotide,West Nile virus,1,1,Flaviviridae,2-Sep-09,KX547172,GenBank,Corvus ossifragus,Corvus ossifragus,100,22705993.0,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,CORVIDAE,Corvus,ossifragus,"Wilson, 1812",,,,,,Fish Crow,,,LC,,3.1,2012.0,increasing,N,Corvus ossifragus
1268,5507,,,USA,,CORVIDAE,"{u'GBReference_position': '1..2004', u'GBReference_reference': '1', u'GBReference_authors': ['Phillips,J.E.', 'Stallknecht,D.E.', 'Perkins,T.A.', 'McClure,N.S.', 'Mead,D.G.'], u'GBReference_journal': 'Virus Genes 49 (1), 132-136 (2014)', u'GBReference_pubmed': '24691819', u'GBReference_xref': [{u'GBXref_id': '10.1007/s11262-014-1061-0', u'GBXref_dbname': 'doi'}], u'GBReference_title': 'Evolutionary dynamics of West Nile virus in Georgia, 2001-2011'}",1.0,,,,,PASSERIFORMES,Corvus ossifragus,,nucleotide,West Nile virus,1,1,Flaviviridae,20-Aug-04,KC883723,GenBank,Corvus ossifragus,Corvus ossifragus,100,22705993.0,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,CORVIDAE,Corvus,ossifragus,"Wilson, 1812",,,,,,Fish Crow,,,LC,,3.1,2012.0,increasing,N,Corvus ossifragus
1276,6280,,,Mexico,,CROCODYLIDAE,"{u'GBReference_position': '1..358', u'GBReference_reference': '1', u'GBReference_journal': 'Unpublished', u'GBReference_title': 'Detection of West Nile virus-specific antibodies and nucleic acid in wild and farmed crocodiles in southeastern Mexico', u'GBReference_authors': ['Machain-Williams,C.', 'Padilla-Paz,S.E.', 'Weber,M.', 'Cetina-Trejo,R.', 'Juarez-Ordaz,J.A.', 'Lorono-Pino,M.A.', 'Ulloa,A.', 'Wang,C.', 'Garcia-Rejon,J.', 'Blitvich,B.J.']}",1.0,,,,,CROCODYLIA,Crocodylus moreletii (Morelet's crocodile),,nucleotide,West Nile virus,1,1,Flaviviridae,2007,KC211057,GenBank,Crocodylus moreletii (Morelet's crocodile),Crocodylus moreletii,90,5663.0,ANIMALIA,CHORDATA,REPTILIA,CROCODYLIA,CROCODYLIDAE,Crocodylus,moreletii,"Duméril & Bibron, 1851",,,,,,"Morelet's Crocodile, Belize Crocodile",Crocodile de Morelet,"Cocodrilo de Morelet, Cocodrilo de Pantano y Lagarto",LC,,3.1,2012.0,stable,N,Crocodylus moreletii
2574,3378,,,"USA: Nassau Co., NY",,CORVIDAE,"{u'GBReference_position': '1..10787', u'GBReference_reference': '1', u'GBReference_journal': 'Submitted (12-JUL-2016) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA', u'GBReference_title': 'Direct Submission', u'GBReference_authors': ['Shabman,R.', 'Das,S.R.', 'Halpin,R.A.', 'Shilts,M.', 'Fedorova,N.', 'Puri,V.', 'Amedeo,P.', 'Shrivastava,S.', 'Maffei,J.', 'Dupuis,A.', 'Jones,S.', 'Backenson,B.', 'Zink,S.', 'Ciota,A.', 'Kramer,L.']}",1.0,,,,,PASSERIFORMES,Cyanocitta cristata,,nucleotide,West Nile virus,1,1,Flaviviridae,29-Sep-04,KX547621,GenBank,Cyanocitta cristata,Cyanocitta cristata,100,22705611.0,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,CORVIDAE,Cyanocitta,cristata,"(Linnaeus, 1758)",,,,,,Blue Jay,,,LC,,3.1,2012.0,stable,N,Cyanocitta cristata
2575,3402,,,"USA: Richmond Co., NY",,CORVIDAE,"{u'GBReference_position': '1..10787', u'GBReference_reference': '1', u'GBReference_journal': 'Submitted (12-JUL-2016) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA', u'GBReference_title': 'Direct Submission', u'GBReference_authors': ['Shabman,R.', 'Das,S.R.', 'Halpin,R.A.', 'Shilts,M.', 'Fedorova,N.', 'Puri,V.', 'Amedeo,P.', 'Shrivastava,S.', 'Maffei,J.', 'Dupuis,A.', 'Jones,S.', 'Backenson,B.', 'Zink,S.', 'Ciota,A.', 'Kramer,L.']}",1.0,,,,,PASSERIFORMES,Cyanocitta cristata,,nucleotide,West Nile virus,1,1,Flaviviridae,14-Sep-04,KX547597,GenBank,Cyanocitta cristata,Cyanocitta cristata,100,22705611.0,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,CORVIDAE,Cyanocitta,cristata,"(Linnaeus, 1758)",,,,,,Blue Jay,,,LC,,3.1,2012.0,stable,N,Cyanocitta cristata
2576,3406,,,"USA: Washington Co., NY",,CORVIDAE,"{u'GBReference_position': '1..10787', u'GBReference_reference': '1', u'GBReference_journal': 'Submitted (12-JUL-2016) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA', u'GBReference_title': 'Direct Submission', u'GBReference_authors': ['Shabman,R.', 'Das,S.R.', 'Halpin,R.A.', 'Shilts,M.', 'Fedorova,N.', 'Puri,V.', 'Amedeo,P.', 'Shrivastava,S.', 'Maffei,J.', 'Dupuis,A.', 'Jones,S.', 'Backenson,B.', 'Zink,S.', 'Ciota,A.', 'Kramer,L.']}",1.0,,,,,PASSERIFORMES,Cyanocitta cristata,,nucleotide,West Nile virus,1,1,Flaviviridae,28-Sep-03,KX547593,GenBank,Cyanocitta cristata,Cyanocitta cristata,100,22705611.0,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,CORVIDAE,Cyanocitta,cristata,"(Linnaeus, 1758)",,,,,,Blue Jay,,,LC,,3.1,2012.0,stable,N,Cyanocitta cristata
2577,3408,,,"USA: Rockland Co., NY",,CORVIDAE,"{u'GBReference_position': '1..10787', u'GBReference_reference': '1', u'GBReference_journal': 'Submitted (12-JUL-2016) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA', u'GBReference_title': 'Direct Submission', u'GBReference_authors': ['Shabman,R.', 'Das,S.R.', 'Halpin,R.A.', 'Shilts,M.', 'Fedorova,N.', 'Puri,V.', 'Amedeo,P.', 'Shrivastava,S.', 'Maffei,J.', 'Dupuis,A.', 'Jones,S.', 'Backenson,B.', 'Zink,S.', 'Ciota,A.', 'Kramer,L.']}",1.0,,,,,PASSERIFORMES,Cyanocitta cristata,,nucleotide,West Nile virus,1,1,Flaviviridae,2-Sep-04,KX547591,GenBank,Cyanocitta cristata,Cyanocitta cristata,100,22705611.0,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,CORVIDAE,Cyanocitta,cristata,"(Linnaeus, 1758)",,,,,,Blue Jay,,,LC,,3.1,2012.0,stable,N,Cyanocitta cristata
2578,3410,,,"USA: Queens Co., NY",,CORVIDAE,"{u'GBReference_position': '1..10787', u'GBReference_reference': '1', u'GBReference_journal': 'Submitted (12-JUL-2016) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA', u'GBReference_title': 'Direct Submission', u'GBReference_authors': ['Shabman,R.', 'Das,S.R.', 'Halpin,R.A.', 'Shilts,M.', 'Fedorova,N.', 'Puri,V.', 'Amedeo,P.', 'Shrivastava,S.', 'Maffei,J.', 'Dupuis,A.', 'Jones,S.', 'Backenson,B.', 'Zink,S.', 'Ciota,A.', 'Kramer,L.']}",1.0,,,,,PASSERIFORMES,Cyanocitta cristata,,nucleotide,West Nile virus,1,1,Flaviviridae,24-Aug-07,KX547589,GenBank,Cyanocitta cristata,Cyanocitta cristata,100,22705611.0,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,CORVIDAE,Cyanocitta,cristata,"(Linnaeus, 1758)",,,,,,Blue Jay,,,LC,,3.1,2012.0,stable,N,Cyanocitta cristata
2579,3421,,,"USA: Queens Co., NY",,CORVIDAE,"{u'GBReference_position': '1..10787', u'GBReference_reference': '1', u'GBReference_journal': 'Submitted (12-JUL-2016) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA', u'GBReference_title': 'Direct Submission', u'GBReference_authors': ['Shabman,R.', 'Das,S.R.', 'Halpin,R.A.', 'Shilts,M.', 'Fedorova,N.', 'Puri,V.', 'Amedeo,P.', 'Shrivastava,S.', 'Maffei,J.', 'Dupuis,A.', 'Jones,S.', 'Backenson,B.', 'Zink,S.', 'Ciota,A.', 'Kramer,L.']}",1.0,,,,,PASSERIFORMES,Cyanocitta cristata,,nucleotide,West Nile virus,1,1,Flaviviridae,18-Oct-05,KX547578,GenBank,Cyanocitta cristata,Cyanocitta cristata,100,22705611.0,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,CORVIDAE,Cyanocitta,cristata,"(Linnaeus, 1758)",,,,,,Blue Jay,,,LC,,3.1,2012.0,stable,N,Cyanocitta cristata
2580,3429,,,"USA: Rockland Co., NY",,CORVIDAE,"{u'GBReference_position': '1..10787', u'GBReference_reference': '1', u'GBReference_journal': 'Submitted (12-JUL-2016) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA', u'GBReference_title': 'Direct Submission', u'GBReference_authors': ['Shabman,R.', 'Das,S.R.', 'Halpin,R.A.', 'Shilts,M.', 'Fedorova,N.', 'Puri,V.', 'Amedeo,P.', 'Shrivastava,S.', 'Maffei,J.', 'Dupuis,A.', 'Jones,S.', 'Backenson,B.', 'Zink,S.', 'Ciota,A.', 'Kramer,L.']}",1.0,,,,,PASSERIFORMES,Cyanocitta cristata,,nucleotide,West Nile virus,1,1,Flaviviridae,2-Sep-05,KX547570,GenBank,Cyanocitta cristata,Cyanocitta cristata,100,22705611.0,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,CORVIDAE,Cyanocitta,cristata,"(Linnaeus, 1758)",,,,,,Blue Jay,,,LC,,3.1,2012.0,stable,N,Cyanocitta cristata
2581,3442,,,"USA: Suffolk Co., NY",,CORVIDAE,"{u'GBReference_position': '1..10787', u'GBReference_reference': '1', u'GBReference_journal': 'Submitted (12-JUL-2016) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA', u'GBReference_title': 'Direct Submission', u'GBReference_authors': ['Shabman,R.', 'Das,S.R.', 'Halpin,R.A.', 'Shilts,M.', 'Fedorova,N.', 'Puri,V.', 'Amedeo,P.', 'Shrivastava,S.', 'Maffei,J.', 'Dupuis,A.', 'Jones,S.', 'Backenson,B.', 'Zink,S.', 'Ciota,A.', 'Kramer,L.']}",1.0,,,,,PASSERIFORMES,Cyanocitta cristata,,nucleotide,West Nile virus,1,1,Flaviviridae,22-Sep-09,KX547557,GenBank,Cyanocitta cristata,Cyanocitta cristata,100,22705611.0,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,CORVIDAE,Cyanocitta,cristata,"(Linnaeus, 1758)",,,,,,Blue Jay,,,LC,,3.1,2012.0,stable,N,Cyanocitta cristata
2582,3446,,,"USA: Jefferson Co., NY",,CORVIDAE,"{u'GBReference_position': '1..10787', u'GBReference_reference': '1', u'GBReference_journal': 'Submitted (12-JUL-2016) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA', u'GBReference_title': 'Direct Submission', u'GBReference_authors': ['Shabman,R.', 'Das,S.R.', 'Halpin,R.A.', 'Shilts,M.', 'Fedorova,N.', 'Puri,V.', 'Amedeo,P.', 'Shrivastava,S.', 'Maffei,J.', 'Dupuis,A.', 'Jones,S.', 'Backenson,B.', 'Zink,S.', 'Ciota,A.', 'Kramer,L.']}",1.0,,,,,PASSERIFORMES,Cyanocitta cristata,,nucleotide,West Nile virus,1,1,Flaviviridae,16-Sep-06,KX547553,GenBank,Cyanocitta cristata,Cyanocitta cristata,100,22705611.0,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,CORVIDAE,Cyanocitta,cristata,"(Linnaeus, 1758)",,,,,,Blue Jay,,,LC,,3.1,2012.0,stable,N,Cyanocitta cristata
2583,3447,,,"USA: Kings Co., NY",,CORVIDAE,"{u'GBReference_position': '1..10787', u'GBReference_reference': '1', u'GBReference_journal': 'Submitted (12-JUL-2016) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA', u'GBReference_title': 'Direct Submission', u'GBReference_authors': ['Shabman,R.', 'Das,S.R.', 'Halpin,R.A.', 'Shilts,M.', 'Fedorova,N.', 'Puri,V.', 'Amedeo,P.', 'Shrivastava,S.', 'Maffei,J.', 'Dupuis,A.', 'Jones,S.', 'Backenson,B.', 'Zink,S.', 'Ciota,A.', 'Kramer,L.']}",1.0,,,,,PASSERIFORMES,Cyanocitta cristata,,nucleotide,West Nile virus,1,1,Flaviviridae,16-Sep-10,KX547552,GenBank,Cyanocitta cristata,Cyanocitta cristata,100,22705611.0,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,CORVIDAE,Cyanocitta,cristata,"(Linnaeus, 1758)",,,,,,Blue Jay,,,LC,,3.1,2012.0,stable,N,Cyanocitta cristata
2584,3464,,,"USA: Schenectady Co., NY",,CORVIDAE,"{u'GBReference_position': '1..10787', u'GBReference_reference': '1', u'GBReference_journal': 'Submitted (12-JUL-2016) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA', u'GBReference_title': 'Direct Submission', u'GBReference_authors': ['Shabman,R.', 'Das,S.R.', 'Halpin,R.A.', 'Shilts,M.', 'Fedorova,N.', 'Puri,V.', 'Amedeo,P.', 'Shrivastava,S.', 'Maffei,J.', 'Dupuis,A.', 'Jones,S.', 'Backenson,B.', 'Zink,S.', 'Ciota,A.', 'Kramer,L.']}",1.0,,,,,PASSERIFORMES,Cyanocitta cristata,,nucleotide,West Nile virus,1,1,Flaviviridae,6-Sep-07,KX547535,GenBank,Cyanocitta cristata,Cyanocitta cristata,100,22705611.0,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,CORVIDAE,Cyanocitta,cristata,"(Linnaeus, 1758)",,,,,,Blue Jay,,,LC,,3.1,2012.0,stable,N,Cyanocitta cristata
2585,3465,,,"USA: Erie Co., NY",,CORVIDAE,"{u'GBReference_position': '1..10787', u'GBReference_reference': '1', u'GBReference_journal': 'Submitted (12-JUL-2016) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA', u'GBReference_title': 'Direct Submission', u'GBReference_authors': ['Shabman,R.', 'Das,S.R.', 'Halpin,R.A.', 'Shilts,M.', 'Fedorova,N.', 'Puri,V.', 'Amedeo,P.', 'Shrivastava,S.', 'Maffei,J.', 'Dupuis,A.', 'Jones,S.', 'Backenson,B.', 'Zink,S.', 'Ciota,A.', 'Kramer,L.']}",1.0,,,,,PASSERIFORMES,Cyanocitta cristata,,nucleotide,West Nile virus,1,1,Flaviviridae,29-Sep-04,KX547534,GenBank,Cyanocitta cristata,Cyanocitta cristata,100,22705611.0,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,CORVIDAE,Cyanocitta,cristata,"(Linnaeus, 1758)",,,,,,Blue Jay,,,LC,,3.1,2012.0,stable,N,Cyanocitta cristata
2586,3467,,,"USA: Suffolk Co., NY",,CORVIDAE,"{u'GBReference_position': '1..10787', u'GBReference_reference': '1', u'GBReference_journal': 'Submitted (12-JUL-2016) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA', u'GBReference_title': 'Direct Submission', u'GBReference_authors': ['Shabman,R.', 'Das,S.R.', 'Halpin,R.A.', 'Shilts,M.', 'Fedorova,N.', 'Puri,V.', 'Amedeo,P.', 'Shrivastava,S.', 'Maffei,J.', 'Dupuis,A.', 'Jones,S.', 'Backenson,B.', 'Zink,S.', 'Ciota,A.', 'Kramer,L.']}",1.0,,,,,PASSERIFORMES,Cyanocitta cristata,,nucleotide,West Nile virus,1,1,Flaviviridae,1-Aug-05,KX547532,GenBank,Cyanocitta cristata,Cyanocitta cristata,100,22705611.0,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,CORVIDAE,Cyanocitta,cristata,"(Linnaeus, 1758)",,,,,,Blue Jay,,,LC,,3.1,2012.0,stable,N,Cyanocitta cristata
2587,3471,,,"USA: Queens Co., NY",,CORVIDAE,"{u'GBReference_position': '1..10787', u'GBReference_reference': '1', u'GBReference_journal': 'Submitted (12-JUL-2016) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA', u'GBReference_title': 'Direct Submission', u'GBReference_authors': ['Shabman,R.', 'Das,S.R.', 'Halpin,R.A.', 'Shilts,M.', 'Fedorova,N.', 'Puri,V.', 'Amedeo,P.', 'Shrivastava,S.', 'Maffei,J.', 'Dupuis,A.', 'Jones,S.', 'Backenson,B.', 'Zink,S.', 'Ciota,A.', 'Kramer,L.']}",1.0,,,,,PASSERIFORMES,Cyanocitta cristata,,nucleotide,West Nile virus,1,1,Flaviviridae,24-Aug-07,KX547528,GenBank,Cyanocitta cristata,Cyanocitta cristata,100,22705611.0,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,CORVIDAE,Cyanocitta,cristata,"(Linnaeus, 1758)",,,,,,Blue Jay,,,LC,,3.1,2012.0,stable,N,Cyanocitta cristata
2588,3518,,,"USA: Nassau Co., NY",,CORVIDAE,"{u'GBReference_position': '1..10787', u'GBReference_reference': '1', u'GBReference_journal': 'Submitted (12-JUL-2016) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA', u'GBReference_title': 'Direct Submission', u'GBReference_authors': ['Shabman,R.', 'Das,S.R.', 'Halpin,R.A.', 'Shilts,M.', 'Fedorova,N.', 'Puri,V.', 'Amedeo,P.', 'Shrivastava,S.', 'Maffei,J.', 'Dupuis,A.', 'Jones,S.', 'Backenson,B.', 'Zink,S.', 'Ciota,A.', 'Kramer,L.']}",1.0,,,,,PASSERIFORMES,Cyanocitta cristata,,nucleotide,West Nile virus,1,1,Flaviviridae,1-Sep-05,KX547481,GenBank,Cyanocitta cristata,Cyanocitta cristata,100,22705611.0,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,CORVIDAE,Cyanocitta,cristata,"(Linnaeus, 1758)",,,,,,Blue Jay,,,LC,,3.1,2012.0,stable,N,Cyanocitta cristata
